2021-03-15T12:26:47.460Z	INFO	service/service.go:411	Starting OpenTelemetry Contrib Collector...	{"Version": "latest", "GitHash": "<NOT PROPERLY GENERATED>", "NumCPU": 8}
2021-03-15T12:26:47.460Z	INFO	service/service.go:255	Setting up own telemetry...
2021-03-15T12:26:47.462Z	INFO	service/telemetry.go:102	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "c262f204-0080-4900-99d5-5fb2a61b0142"}
2021-03-15T12:26:47.462Z	INFO	service/service.go:292	Loading configuration...
2021-03-15T12:26:47.463Z	INFO	service/service.go:303	Applying configuration...
2021-03-15T12:26:47.463Z	INFO	service/service.go:324	Starting extensions...
2021-03-15T12:26:47.463Z	INFO	builder/exporters_builder.go:302	Exporter is enabled.	{"component_kind": "exporter", "exporter": "logging"}
2021-03-15T12:26:47.463Z	INFO	service/service.go:339	Starting exporters...
2021-03-15T12:26:47.463Z	INFO	builder/exporters_builder.go:92	Exporter is starting...	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-03-15T12:26:47.463Z	INFO	builder/exporters_builder.go:97	Exporter started.	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-03-15T12:26:47.465Z	INFO	builder/pipelines_builder.go:203	Pipeline is enabled.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T12:26:47.465Z	INFO	service/service.go:352	Starting processors...
2021-03-15T12:26:47.465Z	INFO	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T12:26:47.465Z	INFO	builder/pipelines_builder.go:61	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T12:26:47.465Z	INFO	builder/receivers_builder.go:230	Receiver is enabled.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp", "datatype": "traces"}
2021-03-15T12:26:47.465Z	INFO	service/service.go:364	Starting receivers...
2021-03-15T12:26:47.465Z	INFO	builder/receivers_builder.go:70	Receiver is starting...	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T12:26:47.465Z	INFO	otlpreceiver/otlp.go:93	Starting GRPC server on endpoint localhost:55680	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T12:26:47.466Z	INFO	builder/receivers_builder.go:75	Receiver started.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T12:26:47.466Z	INFO	service/service.go:267	Everything is ready. Begin running and processing data.
2021-03-15T12:26:53.277Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 512}
2021-03-15T12:26:53.478Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:26:54.280Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2498}
2021-03-15T12:26:54.480Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2622}
2021-03-15T12:26:55.284Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:26:55.484Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:26:56.286Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:26:56.486Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:26:57.289Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2838}
2021-03-15T12:26:57.490Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:26:58.292Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:26:58.493Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:26:59.295Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:26:59.496Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:00.300Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:00.500Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:01.303Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:01.503Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:02.305Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:02.505Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2598}
2021-03-15T12:27:03.307Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2594}
2021-03-15T12:27:03.508Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3550}
2021-03-15T12:27:04.311Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:04.512Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:05.314Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:05.515Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:06.317Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:06.517Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:07.320Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:07.520Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:08.322Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:08.522Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:09.325Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:09.526Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:10.328Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:10.529Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:11.331Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:11.532Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:12.336Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:12.537Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:13.343Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:13.543Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:14.346Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3150}
2021-03-15T12:27:14.547Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:15.349Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2488}
2021-03-15T12:27:15.550Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:16.353Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:16.554Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:17.357Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:17.558Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:18.360Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:18.560Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 1660}
2021-03-15T12:27:19.362Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2584}
2021-03-15T12:27:19.563Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 1584}
2021-03-15T12:27:20.364Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:20.564Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:21.366Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2758}
2021-03-15T12:27:21.567Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:22.370Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:22.571Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:23.375Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:23.575Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:24.378Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:24.579Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:25.382Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:25.582Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:26.385Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:26.586Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:27.389Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:27.589Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2982}
2021-03-15T12:27:28.392Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:28.593Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:29.396Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:29.597Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:30.399Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:30.600Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:31.403Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:31.603Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:32.407Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:32.607Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:33.411Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:33.611Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:34.414Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:34.615Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:35.417Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:35.618Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:36.421Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 4096}
2021-03-15T12:27:36.622Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:37.424Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:37.625Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:38.428Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:38.629Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:39.432Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:39.633Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:40.434Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:40.635Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:41.438Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:41.638Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3192}
2021-03-15T12:27:42.441Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:42.642Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:43.444Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:43.644Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:44.449Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:44.650Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:45.452Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:45.653Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:46.455Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:46.656Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:47.460Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:47.661Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:48.462Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2820}
2021-03-15T12:27:48.663Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3128}
2021-03-15T12:27:49.465Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2576}
2021-03-15T12:27:49.665Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2032}
2021-03-15T12:27:50.469Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:50.670Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:51.473Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2558}
2021-03-15T12:27:51.674Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:52.478Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:52.678Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:53.481Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:53.682Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:54.484Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:54.685Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:55.488Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:55.688Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:27:56.490Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3584}
2021-03-15T12:27:56.692Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:57.495Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 3072}
2021-03-15T12:27:57.696Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:58.498Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:58.699Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:59.501Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:27:59.702Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:28:00.504Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2048}
2021-03-15T12:28:00.705Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:28:01.508Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T12:28:01.708Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 1536}
2021-03-15T12:28:02.511Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
