2021-03-15T10:49:05.883Z	INFO	service/service.go:411	Starting OpenTelemetry Contrib Collector...	{"Version": "latest", "GitHash": "<NOT PROPERLY GENERATED>", "NumCPU": 8}
2021-03-15T10:49:05.883Z	INFO	service/service.go:255	Setting up own telemetry...
2021-03-15T10:49:05.884Z	INFO	service/telemetry.go:102	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "a41511c4-f9d1-4a44-8d89-167af94dd5d2"}
2021-03-15T10:49:05.885Z	INFO	service/service.go:292	Loading configuration...
2021-03-15T10:49:05.886Z	INFO	service/service.go:303	Applying configuration...
2021-03-15T10:49:05.886Z	INFO	service/service.go:324	Starting extensions...
2021-03-15T10:49:05.886Z	INFO	builder/exporters_builder.go:302	Exporter is enabled.	{"component_kind": "exporter", "exporter": "logging"}
2021-03-15T10:49:05.886Z	INFO	service/service.go:339	Starting exporters...
2021-03-15T10:49:05.886Z	INFO	builder/exporters_builder.go:92	Exporter is starting...	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-03-15T10:49:05.886Z	INFO	builder/exporters_builder.go:97	Exporter started.	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-03-15T10:49:05.895Z	INFO	builder/pipelines_builder.go:203	Pipeline is enabled.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T10:49:05.895Z	INFO	service/service.go:352	Starting processors...
2021-03-15T10:49:05.895Z	INFO	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T10:49:05.895Z	INFO	builder/pipelines_builder.go:61	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-03-15T10:49:05.895Z	INFO	builder/receivers_builder.go:230	Receiver is enabled.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp", "datatype": "traces"}
2021-03-15T10:49:05.896Z	INFO	service/service.go:364	Starting receivers...
2021-03-15T10:49:05.896Z	INFO	builder/receivers_builder.go:70	Receiver is starting...	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T10:49:05.896Z	INFO	otlpreceiver/otlp.go:93	Starting GRPC server on endpoint localhost:55680	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T10:49:05.897Z	INFO	builder/receivers_builder.go:75	Receiver started.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-03-15T10:49:05.897Z	INFO	service/service.go:267	Everything is ready. Begin running and processing data.
2021-03-15T10:49:24.732Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 1024}
2021-03-15T10:49:24.932Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 1536}
2021-03-15T10:49:25.734Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
2021-03-15T10:49:25.935Z	INFO	loggingexporter/logging_exporter.go:327	TracesExporter	{"#spans": 2560}
