2021-05-03T14:56:51.996Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-64-gdabc2219", "NumCPU": 48}
2021-05-03T14:56:51.996Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T14:56:52.010Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "0bd230c2-c776-4be7-ab11-40bd56094b68"}
2021-05-03T14:56:52.010Z	info	service/application.go:224	Loading configuration...
2021-05-03T14:56:52.011Z	info	service/application.go:240	Applying configuration...
2021-05-03T14:56:52.011Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T14:56:52.014Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T14:56:52.014Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T14:56:52.014Z	info	service/service.go:155	Starting extensions...
2021-05-03T14:56:52.014Z	info	service/service.go:200	Starting exporters...
2021-05-03T14:56:52.014Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T14:56:52.014Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T14:56:52.014Z	info	service/service.go:205	Starting processors...
2021-05-03T14:56:52.014Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T14:56:52.014Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T14:56:52.014Z	info	service/service.go:210	Starting receivers...
2021-05-03T14:56:52.014Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T14:56:52.014Z	info	otlpreceiver/otlp.go:87	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T14:56:52.015Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T14:56:52.015Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T14:57:01.626Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8194}
2021-05-03T14:57:01.826Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 714}
2021-05-03T14:57:03.446Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 270}
2021-05-03T14:57:03.647Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 144}
2021-05-03T14:57:04.447Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17404}
2021-05-03T14:57:04.648Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14556}
2021-05-03T14:57:05.451Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61996}
2021-05-03T14:57:05.652Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40052}
2021-05-03T14:57:06.457Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68893}
2021-05-03T14:57:06.658Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71520}
2021-05-03T14:57:07.470Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34484}
2021-05-03T14:57:07.677Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1612}
2021-05-03T14:57:08.489Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34728}
2021-05-03T14:57:08.690Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 48108}
2021-05-03T14:57:09.491Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9216}
2021-05-03T14:57:09.691Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1536}
2021-05-03T14:57:10.692Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2051}
2021-05-03T14:57:10.892Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2049}
2021-05-03T14:57:14.663Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 520}
2021-05-03T14:57:14.863Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:57:15.878Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 100}
2021-05-03T14:57:16.081Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1759}
2021-05-03T14:57:16.883Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14026}
2021-05-03T14:57:17.084Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41512}
2021-05-03T14:57:17.885Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13139}
2021-05-03T14:57:18.085Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13703}
2021-05-03T14:57:18.888Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69214}
2021-05-03T14:57:19.089Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65884}
2021-05-03T14:57:19.893Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 57106}
2021-05-03T14:57:20.094Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 59072}
2021-05-03T14:57:21.109Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 664}
2021-05-03T14:57:21.310Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24551}
2021-05-03T14:57:22.113Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 50799}
2021-05-03T14:57:22.313Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23028}
2021-05-03T14:57:23.714Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1544}
2021-05-03T14:57:23.914Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1030}
2021-05-03T14:57:25.723Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T14:57:27.124Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:57:28.946Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T14:57:29.147Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8054}
2021-05-03T14:57:29.949Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16980}
2021-05-03T14:57:30.149Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14889}
2021-05-03T14:57:30.950Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12802}
2021-05-03T14:57:31.150Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13379}
2021-05-03T14:57:31.953Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69902}
2021-05-03T14:57:32.154Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66648}
2021-05-03T14:57:32.961Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 36843}
2021-05-03T14:57:33.165Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 232}
2021-05-03T14:57:33.982Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7818}
2021-05-03T14:57:34.182Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40367}
2021-05-03T14:57:34.986Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60843}
2021-05-03T14:57:35.187Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60337}
2021-05-03T14:57:36.189Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1024}
2021-05-03T14:57:36.589Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 514}
2021-05-03T14:57:37.990Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:57:38.590Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1024}
2021-05-03T14:57:40.598Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1058}
2021-05-03T14:57:40.807Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 350}
2021-05-03T14:57:41.615Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7185}
2021-05-03T14:57:41.815Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11557}
2021-05-03T14:57:42.617Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16894}
2021-05-03T14:57:42.817Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12098}
2021-05-03T14:57:43.618Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13470}
2021-05-03T14:57:43.818Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12448}
2021-05-03T14:57:44.620Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 49820}
2021-05-03T14:57:44.821Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68973}
2021-05-03T14:57:45.627Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29910}
2021-05-03T14:57:45.832Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 266}
2021-05-03T14:57:46.635Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31091}
2021-05-03T14:57:46.836Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 50856}
2021-05-03T14:57:47.640Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56027}
2021-05-03T14:57:47.841Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56564}
2021-05-03T14:57:48.643Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1536}
2021-05-03T14:57:48.843Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1024}
2021-05-03T14:57:49.643Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:57:49.843Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1555}
2021-05-03T14:57:51.247Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T14:57:52.847Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5658}
2021-05-03T14:57:53.048Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12147}
2021-05-03T14:57:53.861Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 272}
2021-05-03T14:57:54.062Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8682}
2021-05-03T14:57:54.863Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17909}
2021-05-03T14:57:55.063Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14381}
2021-05-03T14:57:55.864Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12060}
2021-05-03T14:57:56.064Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12421}
2021-05-03T14:57:56.865Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43948}
2021-05-03T14:57:57.066Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68032}
2021-05-03T14:57:57.873Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6228}
2021-05-03T14:57:58.077Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 974}
