2021-05-03T15:18:45.747Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-66-gfa353f6e", "NumCPU": 48}
2021-05-03T15:18:45.747Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T15:18:45.761Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "d63f51ea-e6cd-4a63-b24c-34c4d0ee9180"}
2021-05-03T15:18:45.761Z	info	service/application.go:224	Loading configuration...
2021-05-03T15:18:45.762Z	info	service/application.go:240	Applying configuration...
2021-05-03T15:18:45.762Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T15:18:45.768Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T15:18:45.768Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T15:18:45.768Z	info	service/service.go:155	Starting extensions...
2021-05-03T15:18:45.768Z	info	service/service.go:200	Starting exporters...
2021-05-03T15:18:45.768Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T15:18:45.768Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T15:18:45.768Z	info	service/service.go:205	Starting processors...
2021-05-03T15:18:45.768Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T15:18:45.768Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T15:18:45.768Z	info	service/service.go:210	Starting receivers...
2021-05-03T15:18:45.768Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T15:18:45.768Z	info	otlpreceiver/otlp.go:87	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T15:18:45.768Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T15:18:45.768Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T15:18:49.173Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40110}
2021-05-03T15:18:49.381Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54414}
2021-05-03T15:18:50.188Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55040}
2021-05-03T15:18:50.390Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 81414}
2021-05-03T15:18:51.192Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18}
2021-05-03T15:18:51.392Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:18:52.254Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66908}
2021-05-03T15:18:52.457Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23392}
2021-05-03T15:18:53.267Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 85922}
2021-05-03T15:18:53.468Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44}
2021-05-03T15:18:54.268Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:18:54.469Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15808}
2021-05-03T15:18:55.275Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61792}
2021-05-03T15:18:55.478Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30035}
2021-05-03T15:18:56.288Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3530}
2021-05-03T15:18:56.490Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T15:18:57.290Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27425}
2021-05-03T15:18:57.492Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60851}
2021-05-03T15:18:58.299Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40665}
2021-05-03T15:18:58.498Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 100000}
2021-05-03T15:18:59.367Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:18:59.569Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:00.372Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 62579}
2021-05-03T15:19:00.576Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29803}
2021-05-03T15:19:01.385Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45837}
2021-05-03T15:19:01.592Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14272}
2021-05-03T15:19:02.395Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4}
2021-05-03T15:19:02.795Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:03.404Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39006}
2021-05-03T15:19:03.606Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61342}
2021-05-03T15:19:04.412Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43947}
2021-05-03T15:19:04.614Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 89617}
2021-05-03T15:19:05.427Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:05.627Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:06.449Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39269}
2021-05-03T15:19:06.650Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 46295}
2021-05-03T15:19:07.458Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17419}
2021-05-03T15:19:07.658Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20}
2021-05-03T15:19:08.459Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16643}
2021-05-03T15:19:08.660Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66133}
2021-05-03T15:19:09.468Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 64819}
2021-05-03T15:19:09.671Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12405}
2021-05-03T15:19:10.483Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:10.883Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:11.485Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34288}
2021-05-03T15:19:11.687Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 64180}
2021-05-03T15:19:12.500Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42981}
2021-05-03T15:19:12.705Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70197}
2021-05-03T15:19:13.507Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:13.707Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:14.513Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 74856}
2021-05-03T15:19:14.751Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18967}
2021-05-03T15:19:15.560Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71177}
2021-05-03T15:19:15.761Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1341}
2021-05-03T15:19:16.561Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16}
2021-05-03T15:19:16.762Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39590}
2021-05-03T15:19:17.569Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 80669}
2021-05-03T15:19:17.801Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54016}
2021-05-03T15:19:18.609Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:18.810Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:19:19.615Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 49620}
2021-05-03T15:19:19.819Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66288}
2021-05-03T15:19:20.646Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44845}
