2021-05-03T09:55:32.539Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T09:55:32.540Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T09:55:32.554Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "48a58244-36b6-458b-af1e-18e99f91b84b"}
2021-05-03T09:55:32.554Z	info	service/application.go:224	Loading configuration...
2021-05-03T09:55:32.554Z	info	service/application.go:240	Applying configuration...
2021-05-03T09:55:32.554Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T09:55:32.562Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:55:32.562Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T09:55:32.562Z	info	service/service.go:155	Starting extensions...
2021-05-03T09:55:32.562Z	info	service/service.go:200	Starting exporters...
2021-05-03T09:55:32.562Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T09:55:32.562Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T09:55:32.562Z	info	service/service.go:205	Starting processors...
2021-05-03T09:55:32.562Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:55:32.563Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:55:32.563Z	info	service/service.go:210	Starting receivers...
2021-05-03T09:55:32.563Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:55:32.563Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:55:32.563Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:55:32.563Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T09:55:41.698Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 152}
2021-05-03T09:55:41.898Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 343}
2021-05-03T09:55:42.698Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3116}
2021-05-03T09:55:42.899Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3234}
