2021-05-03T12:43:32.353Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T12:43:32.353Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T12:43:32.366Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "f113b40b-176d-4141-b72b-1e9d3460167e"}
2021-05-03T12:43:32.366Z	info	service/application.go:224	Loading configuration...
2021-05-03T12:43:32.367Z	info	service/application.go:240	Applying configuration...
2021-05-03T12:43:32.367Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T12:43:32.369Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T12:43:32.369Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T12:43:32.369Z	info	service/service.go:155	Starting extensions...
2021-05-03T12:43:32.369Z	info	service/service.go:200	Starting exporters...
2021-05-03T12:43:32.369Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T12:43:32.369Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T12:43:32.370Z	info	service/service.go:205	Starting processors...
2021-05-03T12:43:32.370Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T12:43:32.370Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T12:43:32.370Z	info	service/service.go:210	Starting receivers...
2021-05-03T12:43:32.370Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T12:43:32.370Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T12:43:32.370Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T12:43:32.370Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T12:43:36.822Z	info	tailsamplingprocessor@v0.0.0-00010101000000-000000000000/processor.go:242	First trace data arrived, starting tail_sampling timers	{"kind": "processor", "name": "tail_sampling"}
2021-05-03T12:43:38.978Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32786}
2021-05-03T12:43:39.179Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65440}
2021-05-03T12:43:39.981Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69090}
2021-05-03T12:43:40.181Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70704}
2021-05-03T12:43:40.984Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 67650}
2021-05-03T12:43:41.185Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70436}
2021-05-03T12:43:41.990Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13572}
2021-05-03T12:43:42.190Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 21430}
2021-05-03T12:43:42.991Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45212}
2021-05-03T12:43:43.192Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69892}
2021-05-03T12:43:43.996Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70420}
2021-05-03T12:43:44.197Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71200}
2021-05-03T12:43:45.002Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44584}
2021-05-03T12:43:45.203Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52784}
2021-05-03T12:43:46.006Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70226}
2021-05-03T12:43:46.207Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69846}
2021-05-03T12:43:47.011Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65058}
2021-05-03T12:43:47.211Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29430}
2021-05-03T12:43:48.013Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23632}
