2021-02-25T14:27:43.902Z	info	service/service.go:411	Starting OpenTelemetry Contrib Collector...	{"Version": "v0.20.0", "GitHash": "ffce8840", "NumCPU": 8}
2021-02-25T14:27:43.902Z	info	service/service.go:255	Setting up own telemetry...
2021-02-25T14:27:43.903Z	info	service/telemetry.go:102	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "6f91d96d-c1e4-4daf-83c5-ead16ecf7b33"}
2021-02-25T14:27:43.904Z	info	service/service.go:292	Loading configuration...
2021-02-25T14:27:43.904Z	info	service/service.go:303	Applying configuration...
2021-02-25T14:27:43.904Z	info	service/service.go:324	Starting extensions...
2021-02-25T14:27:43.904Z	info	builder/exporters_builder.go:306	Exporter is enabled.	{"component_kind": "exporter", "exporter": "logging"}
2021-02-25T14:27:43.904Z	info	service/service.go:339	Starting exporters...
2021-02-25T14:27:43.904Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-02-25T14:27:43.904Z	info	builder/exporters_builder.go:97	Exporter started.	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-02-25T14:27:43.905Z	info	builder/pipelines_builder.go:207	Pipeline is enabled.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:27:43.905Z	info	service/service.go:352	Starting processors...
2021-02-25T14:27:43.905Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:27:43.905Z	info	builder/pipelines_builder.go:61	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:27:43.905Z	info	builder/receivers_builder.go:235	Receiver is enabled.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp", "datatype": "traces"}
2021-02-25T14:27:43.905Z	info	service/service.go:364	Starting receivers...
2021-02-25T14:27:43.905Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:27:43.906Z	info	otlpreceiver/otlp.go:93	Starting GRPC server on endpoint localhost:55680	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:27:43.906Z	info	builder/receivers_builder.go:75	Receiver started.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:27:43.906Z	info	service/service.go:267	Everything is ready. Begin running and processing data.
2021-02-25T14:28:06.124Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 3584}
2021-02-25T14:28:06.269Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:07.176Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:07.355Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:08.248Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:08.380Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:09.377Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:09.502Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:10.445Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:10.591Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:11.476Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:11.620Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:12.503Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9652}
2021-02-25T14:28:12.704Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 5596}
2021-02-25T14:28:13.602Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:13.802Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9084}
2021-02-25T14:28:14.617Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:14.734Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:15.632Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9390}
2021-02-25T14:28:15.753Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:16.655Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:16.854Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10001}
2021-02-25T14:28:17.838Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 6502}
2021-02-25T14:28:18.039Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 7262}
2021-02-25T14:28:18.877Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:19.002Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:20.019Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:20.138Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:21.069Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:21.195Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:22.086Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:22.256Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:23.172Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:23.283Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:24.238Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:24.394Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:25.322Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 2560}
2021-02-25T14:28:25.463Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:26.381Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:26.497Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:27.556Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:27.713Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:28.675Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 7226}
2021-02-25T14:28:28.875Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 4084}
2021-02-25T14:28:29.790Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:29.928Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:30.902Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:31.038Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:31.960Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 8432}
2021-02-25T14:28:32.084Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:33.031Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:33.208Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:34.035Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:34.219Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:35.129Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:35.238Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:36.263Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:36.399Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:37.419Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9256}
2021-02-25T14:28:37.560Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:38.525Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:38.621Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:39.583Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 2730}
2021-02-25T14:28:39.784Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 6900}
2021-02-25T14:28:40.680Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:40.823Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:41.739Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:41.927Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:42.802Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:42.984Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:43.812Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:43.967Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:44.910Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:45.055Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:28:45.982Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 4608}
