2021-02-25T14:43:11.774Z	info	service/service.go:411	Starting OpenTelemetry Contrib Collector...	{"Version": "v0.20.0", "GitHash": "ffce8840", "NumCPU": 8}
2021-02-25T14:43:11.774Z	info	service/service.go:255	Setting up own telemetry...
2021-02-25T14:43:11.776Z	info	service/telemetry.go:102	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "f87e51a9-cde8-4fa7-a91e-32db04160ecd"}
2021-02-25T14:43:11.776Z	info	service/service.go:292	Loading configuration...
2021-02-25T14:43:11.777Z	info	service/service.go:303	Applying configuration...
2021-02-25T14:43:11.777Z	info	service/service.go:324	Starting extensions...
2021-02-25T14:43:11.777Z	info	builder/exporters_builder.go:306	Exporter is enabled.	{"component_kind": "exporter", "exporter": "logging"}
2021-02-25T14:43:11.777Z	info	service/service.go:339	Starting exporters...
2021-02-25T14:43:11.777Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-02-25T14:43:11.777Z	info	builder/exporters_builder.go:97	Exporter started.	{"component_kind": "exporter", "component_type": "logging", "component_name": "logging"}
2021-02-25T14:43:11.779Z	info	builder/pipelines_builder.go:207	Pipeline is enabled.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:43:11.779Z	info	service/service.go:352	Starting processors...
2021-02-25T14:43:11.779Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:43:11.779Z	info	builder/pipelines_builder.go:61	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-02-25T14:43:11.779Z	info	builder/receivers_builder.go:235	Receiver is enabled.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp", "datatype": "traces"}
2021-02-25T14:43:11.779Z	info	service/service.go:364	Starting receivers...
2021-02-25T14:43:11.779Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:43:11.779Z	info	otlpreceiver/otlp.go:93	Starting GRPC server on endpoint localhost:55680	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:43:11.780Z	info	builder/receivers_builder.go:75	Receiver started.	{"component_kind": "receiver", "component_type": "otlp", "component_name": "otlp"}
2021-02-25T14:43:11.780Z	info	service/service.go:267	Everything is ready. Begin running and processing data.
